channel,target,depth,calm_pct,pass_count,mean_compression_index,nonzero_compression_ratio,anchor_retention_gain,dissolution_ratio,catastrophic_pathway_ratio,unresolved_ringdown_ratio
radiative,192,3,35,7,0.525716,0.282878,1.237549,0.005697,0.003743,0.000000
radiative,224,3,35,7,0.580892,0.289062,1.970505,0.014648,0.005534,0.000000
radiative,256,3,35,6,0.419922,0.254883,2.694982,0.002279,0.001139,0.000946
radiative,288,3,35,5,0.241862,0.215007,-0.167179,0.000000,0.000000,0.000000
radiative,320,3,35,5,0.241862,0.215007,-0.167179,0.000000,0.000000,0.000000
radiative,192,3,40,6,0.491048,0.264648,1.650606,0.001790,0.001790,0.004103
radiative,224,3,40,6,0.469401,0.261719,2.245424,0.001628,0.001628,0.002051
radiative,256,3,40,7,0.706706,0.359863,3.180442,0.001139,0.001139,0.006154
radiative,288,3,40,6,0.504232,0.323568,-1.620267,0.000000,0.000000,0.006154
radiative,320,3,40,6,0.504232,0.323568,-1.620267,0.000000,0.000000,0.006154
radiative,192,3,50,7,0.764811,0.362305,0.902570,0.001465,0.001465,0.000000
radiative,224,3,50,7,0.773926,0.362630,1.126611,0.001302,0.001302,0.000000
radiative,256,3,50,7,0.602376,0.323405,0.748443,0.000651,0.000651,0.001106
radiative,288,3,50,5,0.455078,0.294434,-0.184397,0.000000,0.000000,0.000000
radiative,320,3,50,5,0.455078,0.294434,-0.184397,0.000000,0.000000,0.000000
radiative,192,4,35,7,0.525716,0.282878,1.237549,0.005697,0.003743,0.000000
radiative,224,4,35,7,0.580892,0.289062,1.970505,0.014648,0.005534,0.000000
radiative,256,4,35,7,0.812012,0.399740,3.781362,0.002441,0.001953,0.003784
radiative,288,4,35,6,0.582194,0.366699,-0.434872,0.000000,0.000000,0.000946
radiative,320,4,35,6,0.582194,0.366699,-0.434872,0.000000,0.000000,0.000946
radiative,192,4,40,7,0.896159,0.399740,2.039547,0.001790,0.001790,0.006154
radiative,224,4,40,7,0.844238,0.395182,2.493093,0.001628,0.001628,0.003077
radiative,256,4,40,7,0.706706,0.359863,3.180442,0.001139,0.001139,0.006154
radiative,288,4,40,6,0.504232,0.323568,-1.620267,0.000000,0.000000,0.006154
radiative,320,4,40,6,0.504232,0.323568,-1.620267,0.000000,0.000000,0.006154
radiative,192,4,50,7,0.764811,0.362305,0.902570,0.001465,0.001465,0.000000
radiative,224,4,50,7,0.773926,0.362630,1.126611,0.001302,0.001302,0.000000
radiative,256,4,50,7,1.020833,0.438477,1.099424,0.000651,0.000651,0.001106
radiative,288,4,50,6,0.837077,0.410970,-0.320331,0.000000,0.000000,0.001106
radiative,320,4,50,6,0.837077,0.410970,-0.320331,0.000000,0.000000,0.001106
trap,192,3,35,7,1.606771,0.377279,6.299344,0.000000,0.000000,0.001892
trap,224,3,35,7,2.113607,0.361654,11.517526,0.000000,0.000000,0.001892
trap,256,3,35,7,0.818197,0.274089,9.912545,0.000000,0.000000,0.021760
trap,288,3,35,5,0.241862,0.215007,-0.167179,0.000000,0.000000,0.000000
trap,320,3,35,5,0.241862,0.215007,-0.167179,0.000000,0.000000,0.000000
trap,192,3,40,7,1.571940,0.353027,6.623398,0.000000,0.000000,0.004103
trap,224,3,40,7,1.133464,0.335124,5.478778,0.000000,0.000000,0.002051
trap,256,3,40,7,1.108236,0.370443,9.917197,0.000000,0.000000,0.025641
trap,288,3,40,6,0.504232,0.323568,-1.620267,0.000000,0.000000,0.006154
trap,320,3,40,6,0.504232,0.323568,-1.620267,0.000000,0.000000,0.006154
trap,192,3,50,7,2.134766,0.455729,6.752155,0.000000,0.000000,0.000000
trap,224,3,50,7,1.877441,0.428711,6.907242,0.000000,0.000000,0.000000
trap,256,3,50,7,0.866048,0.342773,3.692432,0.000000,0.000000,0.006637
trap,288,3,50,5,0.455078,0.294434,-0.184397,0.000000,0.000000,0.000000
trap,320,3,50,5,0.455078,0.294434,-0.184397,0.000000,0.000000,0.000000
trap,192,4,35,7,1.606771,0.377279,6.299344,0.000000,0.000000,0.001892
trap,224,4,35,7,2.113607,0.361654,11.517526,0.000000,0.000000,0.001892
trap,256,4,35,7,1.271810,0.412109,12.253763,0.000000,0.000000,0.028382
trap,288,4,35,6,0.582194,0.366699,-0.434872,0.000000,0.000000,0.000946
trap,320,4,35,6,0.582194,0.366699,-0.434872,0.000000,0.000000,0.000946
trap,192,4,40,7,2.635742,0.490723,9.804316,0.000000,0.000000,0.008205
trap,224,4,40,7,1.870768,0.451660,7.838930,0.000000,0.000000,0.002051
trap,256,4,40,7,1.108236,0.370443,9.917197,0.000000,0.000000,0.025641
trap,288,4,40,6,0.504232,0.323568,-1.620267,0.000000,0.000000,0.006154
trap,320,4,40,6,0.504232,0.323568,-1.620267,0.000000,0.000000,0.006154
trap,192,4,50,7,2.134766,0.455729,6.752155,0.000000,0.000000,0.000000
trap,224,4,50,7,1.877441,0.428711,6.907242,0.000000,0.000000,0.000000
trap,256,4,50,7,1.331055,0.452637,5.144748,0.000000,0.000000,0.013274
trap,288,4,50,6,0.837077,0.410970,-0.320331,0.000000,0.000000,0.001106
trap,320,4,50,6,0.837077,0.410970,-0.320331,0.000000,0.000000,0.001106
